x	y	RR	N_pairs	N_x	N_y	N_total	date	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
65-80	0-4	0.7261385977773122	350	24528	4661	237188	2021-01-31	1.74257190532199	4420	3.2316641795843584	296	0.29195984484157567	0.6594983064242818	0.5943599578653781	0.8728931506173682	0.5411859184328683	0.7936110239534904
65-80	12-17	0.8133516261750964	1110	24528	13197	237188	2021-01-31	1.74257190532199	4420	1.9965318891002624	1466	0.4350516438663192	0.7387074886692812	0.7377576726997557	0.8990393697103447	0.670735605874733	0.8114099002069824
65-80	18-24	0.6560296465280597	2326	24528	34286	237188	2021-01-31	1.74257190532199	4420	2.724717624256629	13504	0.29370366177718515	0.5958235000504107	0.5949500835346113	0.7177211175598718	0.5384423780206112	0.6529986891154225
65-80	25-64	0.9395689603465096	13347	24528	137368	237188	2021-01-31	1.74257190532199	4420	1.1010469484210594	87596	0.6608262278960184	0.8533414144545651	0.9085931089843146	0.9638315140983624	0.822982329644196	0.8796076270190817
65-80	5-11	0.7647814699764168	818	24528	10343	237188	2021-01-31	1.74257190532199	4420	2.55861813714003	1154	0.35561389402764104	0.6945947864195443	0.6764743816648131	0.8533995411715763	0.6154207587774723	0.7729761743717576
65-80	65-80	1.74257190532199	4420	24528	24528	237188	2021-01-31	1.74257190532199	4420	1.74257190532199	4420	1	1.5826499567715075	1.6055607030850014	1.9317178309093486	1.4623494253008043	1.747088233665465
65-80	80+	1.628925187588528	2157	24528	12805	237188	2021-01-31	1.74257190532199	4420	4.299147574656705	2972	0.5392256932770643	1.4794329977704082	1.4954688099732931	1.7913104370406225	1.3602186882631526	1.6196358015608308
80+	0-4	0.5682900832642125	143	12805	4661	237188	2021-01-31	4.299147574656705	2972	3.2316641795843584	296	0.15092399114721555	0.5161361048946739	0.37600451075117175	0.7594799661530229	0.34054474191903344	0.6909635521791453
80+	12-17	0.5909081960074167	421	12805	13197	237188	2021-01-31	4.299147574656705	2972	1.9965318891002624	1466	0.1877186408263518	0.5366784739331961	0.45251415310772364	0.7042410616702548	0.41324292642061633	0.6392723957991976
80+	18-24	0.4937902463333956	914	12805	34286	237188	2021-01-31	4.299147574656705	2972	2.724717624256629	13504	0.14060356580014952	0.4484733798513392	0.42679582827440926	0.5578101253987244	0.3878104319954256	0.5089310399264118
80+	25-64	0.7893693755881049	5854	12805	137368	237188	2021-01-31	4.299147574656705	2972	1.1010469484210594	87596	0.292348496786451	0.7169261735115735	0.7453370210778116	0.8429682843833978	0.6772245551532157	0.7671484394068134
80+	5-11	0.6160628966095868	344	12805	10343	237188	2021-01-31	4.299147574656705	2972	2.55861813714003	1154	0.1796686916701849	0.5595246392472573	0.45509400616567364	0.7559214055327051	0.41405165979161895	0.6901205805208642
80+	65-80	1.628925187588528	2157	12805	24528	237188	2021-01-31	4.299147574656705	2972	1.74257190532199	4420	0.5392256932770643	1.4794329977704082	1.4954688099732931	1.7913104370406225	1.3602186882631526	1.6196358015608308
80+	80+	4.299147574656705	2972	12805	12805	237188	2021-01-31	4.299147574656705	2972	4.299147574656705	2972	1	3.904599691068429	3.7322436240804393	5.117379552121697	3.3718323267073855	4.621878514765312
0-4	0-4	2.459201001196407	714	14078	14078	682618	2021-02-28	2.459201001196407	714	2.459201001196407	714	1	2.332924774331026	2.0443321254757465	2.9511005897547378	1.9431540104574971	2.8078136494172696
0-4	12-17	1.0390565872875224	1011	14078	47179	682618	2021-02-28	2.459201001196407	714	1.5548490502319503	5070	0.5177098312054106	0.9857026136682638	0.9361214113650993	1.150047551623715	0.8874462692369379	1.090964327333915
0-4	18-24	0.7752710445396106	1661	14078	103885	682618	2021-02-28	2.459201001196407	714	1.9207004384452953	30366	0.3540130092986894	0.7354620568827185	0.6992059256419468	0.8445518823435196	0.6621357275618164	0.8022322316927968
0-4	25-64	0.9674003999024208	8393	14078	420676	682618	2021-02-28	2.459201001196407	714	1.0541278605528936	273282	0.5507030158405087	0.9177258623968216	0.9408839725788596	0.9937388810560461	0.8912475353746719	0.9452567670103483
0-4	5-11	1.6418758873983463	1163	14078	34346	682618	2021-02-28	2.459201001196407	714	1.7788087956591272	3074	0.7748334553717006	1.5575680606119042	1.492921615337391	1.834290411220802	1.415748011877475	1.7355777012733904
0-4	65-80	0.873760096936139	889	14078	49334	682618	2021-02-28	2.459201001196407	714	1.9010198061390928	6778	0.4007870865008269	0.8288938464047889	0.7679042202680985	0.9941755361303268	0.7277480684202859	0.9422988037409867
0-4	80+	0.9128510006531554	247	14078	13120	682618	2021-02-28	2.459201001196407	714	4.8697698135875225	1228	0.24910755513223257	0.8659774917383949	0.710601007556168	1.1170662668858193	0.6750560659489497	1.060671021229716
12-17	0-4	1.0390565872875224	1011	47179	14078	682618	2021-02-28	1.5548490502319503	5070	2.459201001196407	714	0.5177098312054106	0.9857026136682638	0.9361214113650993	1.150047551623715	0.8874462692369379	1.090964327333915
