x	y	RR	N_pairs	N_x	N_y	N_total
02y	52y	0.8691711486034638	1049	89317	284130	21027180
02y	53y	0.9843407301746621	1137	89317	271933	21027180
02y	54y	0.9263981456172685	1047	89317	266070	21027180
02y	55y	0.9107115976268371	1071	89317	276857	21027180
02y	56y	0.9210204611569156	1033	89317	264045	21027180
02y	57y	0.9020768262220482	986	89317	257324	21027180
02y	58y	0.9271319920975954	1039	89317	263828	21027180
02y	59y	0.8672455101962778	960	89317	260601	21027180
02y	60y	0.9006944521935338	928	89317	242559	21027180
02y	61y	0.9672654348742625	1015	89317	247040	21027180
02y	62y	0.9434462291089228	882	89317	220089	21027180
02y	63y	0.8618768064762155	785	89317	214423	21027180
02y	64y	0.9946630463798077	886	89317	209703	21027180
02y	65y	0.9106733254567098	743	89317	192076	21027180
02y	66y	0.9175374685163101	686	89317	176014	21027180
02y	67y	0.9580834199168431	690	89317	169548	21027180
02y	68y	0.9048700615999997	616	89317	160266	21027180
02y	69y	0.9136473844958127	559	89317	144039	21027180
02y	70y	0.9446751893685699	554	89317	138062	21027180
02y	71y	0.8653270035894223	490	89317	133310	21027180
02y	72y	0.9150355640823958	465	89317	119636	21027180
02y	73y	0.9087198179198095	458	89317	118654	21027180
02y	74y	0.8413240832238419	424	89317	118645	21027180
02y	75y	0.8693521502128286	383	89317	103717	21027180
02y	76y	0.8094953421438797	321	89317	93355	21027180
02y	77y	0.7634343793770862	266	89317	82027	21027180
02y	78y	0.8007548442145886	271	89317	79674	21027180
02y	79y	0.8376558421353913	268	89317	75321	21027180
02y	80y	0.7885549781868503	237	89317	70756	21027180
02y	81y	0.8478312860396273	228	89317	63310	21027180
02y	82y	0.7727809948575868	193	89317	58796	21027180
02y	83y	0.7399517739049675	183	89317	58223	21027180
02y	84y	0.865605970021508	189	89317	51403	21027180
02y	85y	0.6583490137233635	143	89317	51136	21027180
02y	86y	0.7393241227876595	133	89317	42351	21027180
02y	87y	0.8510985773174764	169	89317	46747	21027180
02y	88y	0.7125945788480798	118	89317	38984	21027180
02y	89y	0.7153886184665058	109	89317	35870	21027180
02y	90y	0.7094236497246504	113	89317	37499	21027180
02y	91y	0.7602343221006197	94	89317	29109	21027180
02y	92y	0.608677912555032	58	89317	22433	21027180
02y	93y	0.7278839256241669	60	89317	19406	21027180
02y	94y	0.6498294942966536	46	89317	16665	21027180
02y	95y	0.6245956693699811	37	89317	13946	21027180
02y	96y	0.6571835505438033	35	89317	12538	21027180
02y	97y	0.36719105942568275	14	89317	8976	21027180
02y	98y	0.7735236560459305	20	89317	6087	21027180
02y	99y+	0.4290212015805717	31	89317	17011	21027180
03y	00y	1.0563735875765004	86	101322	16895	21027180
