date	x	y	nRR	RR	N_pairs	N_x	N_y	region_x	region_y	country_x	country_y	nb_dist
2020-01-01	Georgia	Oklahoma	0.09554909202209606	1.608857279637904	2	907	304	Southeast	Southwest	USA	USA	3
2020-01-01	Illinois	Oklahoma	0.1642905162477307	0.986728981940942	7	5176	304	Great Lakes	Southwest	USA	USA	2
2020-01-01	Iowa	Oklahoma	0.08816363327206321	1.931903830073861	6	2266	304	Plains	Southwest	USA	USA	2
2020-01-01	Maine	Oklahoma	0.07026889691250582	1.1071574754412588	2	1318	304	New England	Southwest	USA	USA	6
2020-01-01	Manitoba	Oklahoma	0.0905841743508793	0.7795051029014844	2	1872	304	Western Canada	Southwest	Canada	USA	4
2020-01-01	Maryland	Oklahoma	0.6262807797691438	2.245546260174674	12	3899	304	Mideast	Southwest	USA	USA	4
2020-01-01	Massachusetts	Oklahoma	0.07461472890770288	0.31166861515171956	3	7023	304	New England	Southwest	USA	USA	6
2020-01-01	Michigan	Oklahoma	0.46993095810933233	2.3406986295105496	24	7481	304	Great Lakes	Southwest	USA	USA	4
2020-01-01	Minnesota	Oklahoma	0.19632838124876212	1.2250097204057828	5	2978	304	Plains	Southwest	USA	USA	3
2020-01-01	New Jersey	Oklahoma	0.8521168278680481	6.289792706442832	4	464	304	Mideast	Southwest	USA	USA	5
2020-01-01	New York	Oklahoma	0.7019749811402357	2.0111903814378977	72	26120	304	Mideast	Southwest	USA	USA	5
2020-01-01	North Carolina	Oklahoma	0.2560505853402633	0.8614149008885851	1	847	304	Southeast	Southwest	USA	USA	3
2020-01-01	Nova Scotia	Oklahoma	0.05001968737907274	1.0393424801319535	1	702	304	Eastern Canada	Southwest	Canada	USA	7
2020-01-01	Ohio	Oklahoma	1.6102682261868455	5.174576298561461	26	3666	304	Great Lakes	Southwest	USA	USA	3
2020-01-01	Ontario	Oklahoma	0.11093625114603224	0.33256411290938154	11	24133	304	Eastern Canada	Southwest	Canada	USA	4
2020-01-01	Pennsylvania	Oklahoma	0.8775855720976288	3.862442882616812	10	1889	304	Mideast	Southwest	USA	USA	4
2020-01-01	Quebec	Oklahoma	0.17712689416401722	0.8049875610866781	19	17221	304	Eastern Canada	Southwest	Canada	USA	5
2020-01-01	Rhode Island	Oklahoma	0.06493832502340327	0.21656775788536345	2	6738	304	New England	Southwest	USA	USA	7
2020-01-01	Saskatchewan	Oklahoma	0.13072673156410278	1.9794242796356056	5	1843	304	Western Canada	Southwest	Canada	USA	4
2020-01-01	South Carolina	Oklahoma	0.07676946865660988	2.308919053964024	1	316	304	Southeast	Southwest	USA	USA	4
2020-01-01	Tennessee	Oklahoma	0.35920477141283536	0.8670431091096725	2	1683	304	Southeast	Southwest	USA	USA	2
2020-01-01	Utah	Oklahoma	0.30392714158206363	0.839410710393102	5	4346	304	Rocky Mountain	Southwest	USA	USA	2
2020-01-01	Virginia	Oklahoma	0.5342723083968336	4.429583009996804	7	1153	304	Southeast	Southwest	USA	USA	3
2020-01-01	Wisconsin	Oklahoma	0.4574027585705749	1.7758846657929226	13	5341	304	Great Lakes	Southwest	USA	USA	3
2020-01-01	North Dakota	Wyoming	0.8908985791807325	204.59803120775123	131	448	317	Plains	Rocky Mountain	USA	USA	2
2020-01-01	Alberta	Virginia	0.17199006747133427	1.8173547935619312	27	2858	1153	Western Canada	Southeast	Canada	USA	6
2020-01-01	Arizona	Virginia	0.1771808167510967	2.1100955142851254	24	2188	1153	Southwest	Southeast	USA	USA	5
2020-01-01	British Columbia	Virginia	0.22729098300315131	1.8275184301821337	38	4000	1153	Western Canada	Southeast	Canada	USA	6
2020-01-01	California	Virginia	0.21706633727232447	1.9740272364883351	142	13838	1153	Far West	Southeast	USA	USA	5
2020-01-01	Colorado	Virginia	0.2341123459662588	2.521779207576197	67	5111	1153	Rocky Mountain	Southeast	USA	USA	4
2020-01-01	Connecticut	Virginia	0.1296958102996802	1.130925229942287	20	3402	1153	New England	Southeast	USA	USA	4
2020-01-01	Delaware	Virginia	0.16904035259033018	1.8334422760464224	13	1364	1153	Mideast	Southeast	USA	USA	2
